Time,Temp,Windchill,Heat Index,Humidity,Pressure,Dew Point,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
6/1/2016 0:00,23.3,,,0.71,1014.8,17.8,12.9,WSW,11.1,0,0,,Clear
6/1/2016 1:00,23.3,,,0.73,1015.1,18.3,12.9,Calm,0,0,0,,Clear
6/1/2016 2:00,22.8,,,0.76,1015.3,18.3,12.9,Calm,0,0,0,,Clear
6/1/2016 3:00,22.2,,,0.78,1015.6,18.3,11.3,NE,5.6,0,0,,Clear
6/1/2016 4:00,21.1,,,0.76,1016,16.7,12.9,ENE,13,0,0,,Clear
6/1/2016 5:00,21.7,,,0.53,1016.3,11.7,16.1,East,7.4,0,0,,Clear
6/1/2016 6:00,21.7,,,0.47,1016.7,10,16.1,NE,5.6,0,0,,Clear
6/1/2016 7:00,21.1,,,0.53,1017.5,11.1,12.9,Variable,5.6,0,0,,Clear
6/1/2016 8:00,22.2,,,0.43,1018,8.9,14.5,ENE,9.3,0,0,,Partly Cloudy
6/1/2016 9:00,22.8,,,0.44,1018.5,10,14.5,Calm,0,0,0,,Partly Cloudy
6/1/2016 10:00,23.9,,,0.4,1018.8,9.4,14.5,Variable,7.4,0,0,,Clear
6/1/2016 11:00,25,,,0.36,1019,8.9,14.5,ENE,11.1,0,0,,Clear
6/1/2016 12:00,25,,,0.36,1019,8.9,12.9,ESE,16.7,0,0,,Clear
6/1/2016 13:00,26.1,,,0.34,1019.1,8.9,12.9,ENE,14.8,0,0,,Clear
6/1/2016 14:00,26.7,,,0.35,1019,10,12.9,ENE,14.8,0,0,,Clear
6/1/2016 15:00,26.7,,,0.35,1018.8,10,12.9,Variable,9.3,0,0,,Clear
6/1/2016 16:00,27.8,,,0.33,1018.7,10,12.9,East,14.8,0,0,,Partly Cloudy
6/1/2016 17:00,27.2,,,0.31,1019,8.9,12.9,ENE,14.8,0,0,,Scattered Clouds
6/1/2016 18:00,26.7,,26.7,0.4,1018.7,12.2,12.9,ENE,13,0,0,,Scattered Clouds
6/1/2016 19:00,25.6,,,0.43,1018.6,12.2,12.9,SSE,13,0,0,,Clear
6/1/2016 20:00,24.4,,,0.46,1019.1,12.2,12.9,North,0,0,0,,Clear
6/1/2016 21:00,23.9,,,0.46,1019.3,11.7,12.9,North,0,0,0,,Clear
6/1/2016 22:00,21.7,,,0.51,1020.1,11.1,14.5,SE,5.6,0,0,,Clear
6/1/2016 23:00,21.1,,,0.53,1020.6,11.1,14.5,Variable,5.6,0,0,,Clear
6/2/2016 0:00,20,,,0.56,1020.9,11.1,14.5,Variable,9.3,0,0,,Clear
6/2/2016 1:00,19.4,,,0.61,1021.2,11.7,14.5,ENE,7.4,0,0,,Clear
6/2/2016 2:00,18.9,,,0.6,1021.1,11.1,14.5,Variable,7.4,0,0,,Clear
6/2/2016 3:00,18.3,,,0.65,1020.9,11.7,14.5,Variable,5.6,0,0,,Clear
6/2/2016 4:00,17.8,,,0.73,1020.8,12.8,14.5,ENE,5.6,0,0,,Clear
6/2/2016 5:00,17.2,,,0.75,1020.5,12.8,14.5,East,7.4,0,0,,Clear
6/2/2016 6:00,17.2,,,0.75,1020.2,12.8,14.5,Variable,5.6,0,0,,Clear
6/2/2016 7:00,17.2,,,0.75,1020.7,12.8,12.9,NE,9.3,0,0,,Mostly Cloudy
6/2/2016 8:00,17.2,,,0.78,1021.1,13.3,12.9,Variable,5.6,0,0,,Overcast
6/2/2016 9:00,17.8,,,0.75,1021,13.3,11.3,NE,11.1,0,0,,Scattered Clouds
6/2/2016 10:00,18.9,,,0.7,1021.2,13.3,11.3,Variable,9.3,0,0,,Partly Cloudy
6/2/2016 11:00,19.4,,,0.68,1021.1,13.3,11.3,Variable,9.3,0,0,,Clear
6/2/2016 12:00,20.6,,,0.65,1021,13.9,11.3,Variable,9.3,0,0,,Clear
6/2/2016 13:00,21.7,,,0.61,1020.6,13.9,11.3,East,11.1,0,0,,Clear
6/2/2016 14:00,23.9,,,0.55,1020.3,14.4,11.3,Variable,5.6,0,0,,Clear
6/2/2016 15:00,24.4,,,0.54,1020,14.4,9.7,Variable,5.6,0,0,,Haze
6/2/2016 16:00,23.9,,,0.55,1019.5,14.4,9.7,ENE,13,0,0,,Haze
6/2/2016 17:00,23.3,,,0.59,1018.9,15,9.7,Variable,11.1,0,0,,Haze
6/2/2016 18:00,23.3,,,0.59,1018.7,15,11.3,Variable,11.1,0,0,,Clear
6/2/2016 19:00,22.2,,,0.66,1018.3,15.6,14.5,Variable,7.4,0,0,,Clear
6/2/2016 20:00,20.6,,,0.7,1018.3,15,12.9,Variable,11.1,0,0,,Clear
6/2/2016 21:00,18.9,,,0.78,1018.5,15,11.3,North,0,0,0,,Scattered Clouds
6/2/2016 22:00,18.3,,,0.78,1018.9,14.4,12.9,Variable,7.4,0,0,,Overcast
6/2/2016 23:00,17.8,,,0.8,1019.2,14.4,11.3,Variable,5.6,0,0,,Overcast
6/3/2016 0:00,17.8,,,0.8,1019.1,14.4,11.3,Calm,0,0,0,,Overcast
6/3/2016 1:00,18.3,,,0.78,1019.2,14.4,11.3,Calm,0,0,0,,Overcast
6/3/2016 2:00,18.3,,,0.78,1019.2,14.4,11.3,Variable,7.4,0,0,,Overcast
6/3/2016 3:00,17.8,,,0.78,1018.7,13.9,12.9,Calm,0,0,0,,Overcast
6/3/2016 4:00,17.8,,,0.78,1018.2,13.9,14.5,Calm,0,0,0,,Overcast
6/3/2016 5:00,17.8,,,0.8,1017.9,14.4,12.9,SSW,5.6,0,0,,Overcast
6/3/2016 6:00,18.3,,,0.78,1018,14.4,12.9,Calm,0,0,0,,Overcast
6/3/2016 7:00,17.8,,,0.8,1018.1,14.4,11.3,ENE,7.4,0,0,,Overcast
6/3/2016 8:00,17.8,,,0.8,1018.3,14.4,8,East,7.4,0,0,,Haze
6/3/2016 9:00,17.8,,,0.84,1018.3,15,6.4,Calm,0,0,0.3,,Haze
6/3/2016 10:00,17.2,,,0.9,1019.2,15.6,4.8,East,5.6,0,0,Rain,Light Rain
6/3/2016 11:00,17.8,,,0.9,1018.3,16.1,4.8,Calm,0,0,0.3,,Overcast
6/3/2016 12:00,18.3,,,0.9,1018.3,16.7,4.8,Calm,0,0,0,,Overcast
6/3/2016 13:00,18.9,,,0.87,1018.2,16.7,4.8,Variable,5.6,0,0,,Overcast
6/3/2016 14:00,18.9,,,0.87,1018,16.7,6.4,Variable,5.6,0,0,,Overcast
6/3/2016 15:00,19.4,,,0.84,1017.8,16.7,8,Calm,0,0,0,,Haze
6/3/2016 16:00,20,,,0.78,1017.2,16.1,9.7,Variable,5.6,0,0,,Haze
6/3/2016 17:00,19.4,,,0.84,1017.3,16.7,8,Calm,0,0,0,,Haze
6/3/2016 18:00,20.6,,,0.78,1016.9,16.7,9.7,Calm,0,0,0,,Haze
6/3/2016 19:00,21.1,,,0.73,1016.6,16.1,8,Calm,0,0,0,,Haze
6/3/2016 20:00,21.1,,,0.76,1016.8,16.7,9.7,Calm,0,0,0,,Haze
6/3/2016 21:00,20.6,,,0.75,1016.7,16.1,9.7,Calm,0,0,0,,Haze
6/3/2016 22:00,20,,,0.78,1016.6,16.1,12.9,Variable,5.6,0,0,,Overcast
6/3/2016 23:00,20,,,0.81,1016.9,16.7,11.3,WSW,7.4,0,0,,Overcast
6/4/2016 0:00,20,,,0.81,1017.3,16.7,12.9,Variable,5.6,0,0,,Overcast
6/4/2016 1:00,19.4,,,0.79,1017.5,15.6,12.9,Calm,0,0,0,,Overcast
6/4/2016 2:00,19.4,,,0.79,1017,15.6,12.9,Calm,0,0,0,,Overcast
6/4/2016 3:00,19.4,,,0.81,1016.7,16.1,12.9,Calm,0,0,0,,Overcast
6/4/2016 4:00,20,,,0.81,1016.2,16.7,11.3,Calm,0,0,0,,Overcast
6/4/2016 5:00,20,,,0.81,1016.3,16.7,11.3,Calm,0,0,0,,Overcast
6/4/2016 6:00,19.4,,,0.84,1016.1,16.7,11.3,Calm,0,0,0,,Overcast
6/4/2016 7:00,20,,,0.84,1016.3,17.2,9.7,Calm,0,0,0,,Haze
6/4/2016 8:00,20.6,,,0.84,1016.4,17.8,6.4,West,5.6,0,0,,Haze
6/4/2016 9:00,21.1,,,0.81,1016.7,17.8,8,West,7.4,0,0,,Haze
6/4/2016 10:00,22.2,,,0.76,1016.6,17.8,8,West,5.6,0,0,,Haze
6/4/2016 11:00,23.3,,,0.71,1016.3,17.8,8,WSW,9.3,0,0,,Haze
